TestCseID,Type,Promotion Type,Scheme Options,Discount Percentage Method,Buy Type,Apply On
PROMOINV179A,Promo & Deal,Discount by Percentage,Scheme by TDR;Scheme by Range;Quality Purchase Scheme;Pro-rata;For Every,,Quantity,Per Tier
PROMOINV180A,Promo & Deal,Discount by Value,Scheme by TDR;Scheme by Range;Quality Purchase Scheme;Pro-rata;For Every,,Quantity,Per Tier
PROMOINV181A,Promo & Deal,Discount by Value,Scheme by TDR;Scheme by Range;Quality Purchase Scheme;Pro-rata;For Every,,Quantity,Per UOM
PROMOINV183A,Promo & Deal,Discount by Percentage,Scheme by TDR;Scheme by Range;Quality Purchase Scheme;Pro-rata;For Every,,Amount,Per Tier
PROMOINV184A,Promo & Deal,Discount by Value,Scheme by TDR;Scheme by Range;Quality Purchase Scheme;Pro-rata;For Every,,Amount,Per Tier
PROMOINV185A,Promo & Deal,Discount by Value,Scheme by TDR;Scheme by Range;Quality Purchase Scheme;Pro-rata;For Every,,Amount,Per UOM
PROMOINV187A,Promo & Deal,Discount by Percentage,Scheme by TDR;Scheme by Range;Quality Purchase Scheme;For Every,,Quantity,Per Tier
PROMOINV188A,Promo & Deal,Discount by Value,Scheme by TDR;Scheme by Range;Quality Purchase Scheme;For Every,,Quantity,Per Tier
PROMOINV189A,Promo & Deal,Discount by Value,Scheme by TDR;Scheme by Range;Quality Purchase Scheme;For Every,,Quantity,Per UOM
PROMOINV190A,Promo & Deal,Discount by Value,Scheme by TDR;Scheme by Range;Quality Purchase Scheme;For Every,,Quantity,Per Product
PROMOINV192A,Promo & Deal,Discount by Percentage,Scheme by TDR;Scheme by Range;Quality Purchase Scheme;For Every,,Amount,Per Tier
PROMOINV193A,Promo & Deal,Discount by Value,Scheme by TDR;Scheme by Range;Quality Purchase Scheme;For Every,,Amount,Per Tier
PROMOINV194A,Promo & Deal,Discount by Value,Scheme by TDR;Scheme by Range;Quality Purchase Scheme;For Every,,Amount,Per UOM
PROMOINV195A,Promo & Deal,Discount by Value,Scheme by TDR;Scheme by Range;Quality Purchase Scheme;For Every,,Amount,Per Product
PROMOINV197A,Promo & Deal,Discount by Percentage,Scheme by MRP;For Every,,Quantity,Per Tier
PROMOINV198A,Promo & Deal,Discount by Value,Scheme by MRP;For Every,,Quantity,Per Tier
PROMOINV199A,Promo & Deal,Discount by Value,Scheme by MRP;For Every,,Quantity,Per UOM
PROMOINV200A,Promo & Deal,Discount by Value,Scheme by MRP;For Every,,Quantity,Per Product
PROMOINV203A,Promo & Deal,Discount by Percentage,Scheme by MRP;For Every,,Amount,Per Tier
PROMOINV204A,Promo & Deal,Discount by Value,Scheme by MRP;For Every,,Amount,Per Tier
PROMOINV205A,Promo & Deal,Discount by Value,Scheme by MRP;For Every,,Amount,Per UOM
PROMOINV206A,Promo & Deal,Discount by Value,Scheme by MRP;For Every,,Amount,Per Product
PROMOINV209A,Promo & Deal,Discount by Percentage,Scheme by MRP;Pro-rata;For Every,Non Accumulative,Quantity,Per Tier
PROMOINV210A,Promo & Deal,Discount by Value,Scheme by MRP;Pro-rata;For Every,Non Accumulative,Quantity,Per Tier
PROMOINV211A,Promo & Deal,Discount by Value,Scheme by MRP;Pro-rata;For Every,Non Accumulative,Quantity,Per UOM
PROMOINV214A,Promo & Deal,Discount by Percentage,Scheme by MRP;Pro-rata;For Every,Non Accumulative,Amount,Per Tier
PROMOINV215A,Promo & Deal,Discount by Value,Scheme by MRP;Pro-rata;For Every,Non Accumulative,Amount,Per Tier
PROMOINV216A,Promo & Deal,Discount by Value,Scheme by MRP;Pro-rata;For Every,Non Accumulative,Amount,Per UOM
PROMOINV219A,Promo & Deal,Discount by Percentage,Scheme by MRP;Pro-rata;For Every,Accumulative,Quantity,Per Tier
PROMOINV220A,Promo & Deal,Discount by Percentage,Scheme by MRP;Pro-rata;For Every,Accumulative,Amount,Per Tier
PROMOINV225A,Promo & Deal,Discount by Percentage,Scheme by MRP;Quality Purchase Scheme;Pro-rata;For Every,,Amount,Per Tier
PROMOINV226A,Promo & Deal,Discount by Value,Scheme by MRP;Quality Purchase Scheme;Pro-rata;For Every,,Amount,Per Tier
PROMOINV227A,Promo & Deal,Discount by Value,Scheme by MRP;Quality Purchase Scheme;Pro-rata;For Every,,Amount,Per UOM
PROMOINV229A,Promo & Deal,Discount by Percentage,Scheme by MRP;Quality Purchase Scheme;Pro-rata;For Every,,Quantity,Per Tier
PROMOINV230A,Promo & Deal,Discount by Value,Scheme by MRP;Quality Purchase Scheme;Pro-rata;For Every,,Quantity,Per Tier
PROMOINV231A,Promo & Deal,Discount by Value,Scheme by MRP;Quality Purchase Scheme;Pro-rata;For Every,,Quantity,Per UOM
PROMOINV233A,Promo & Deal,Discount by Percentage,Scheme by MRP;Quality Purchase Scheme;For Every,,Amount,Per Tier
PROMOINV234A,Promo & Deal,Discount by Value,Scheme by MRP;Quality Purchase Scheme;For Every,,Amount,Per Tier
PROMOINV235A,Promo & Deal,Discount by Value,Scheme by MRP;Quality Purchase Scheme;For Every,,Amount,Per UOM
PROMOINV236A,Promo & Deal,Discount by Value,Scheme by MRP;Quality Purchase Scheme;For Every,,Amount,Per Product
PROMOINV238A,Promo & Deal,Discount by Percentage,Scheme by MRP;Quality Purchase Scheme;For Every,,Quantity,Per Tier
PROMOINV239A,Promo & Deal,Discount by Value,Scheme by MRP;Quality Purchase Scheme;For Every,,Quantity,Per Tier
PROMOINV240A,Promo & Deal,Discount by Value,Scheme by MRP;Quality Purchase Scheme;For Every,,Quantity,Per UOM
PROMOINV241A,Promo & Deal,Discount by Value,Scheme by MRP;Quality Purchase Scheme;For Every,,Quantity,Per Product
PROMOINV243A,Promo & Deal,Discount by Percentage,Scheme by MRP;Combi Scheme,,Amount,Per Tier
PROMOINV244A,Promo & Deal,Discount by Value,Scheme by MRP;Combi Scheme,,Amount,Per Tier
PROMOINV245A,Promo & Deal,Discount by Value,Scheme by MRP;Combi Scheme,,Amount,Per UOM
PROMOINV246A,Promo & Deal,Discount by Value,Scheme by MRP;Combi Scheme,,Amount,Per Product
PROMOINV249A,Promo & Deal,Discount by Percentage,Scheme by MRP;Combi Scheme,,Quantity,Per Tier
PROMOINV250A,Promo & Deal,Discount by Value,Scheme by MRP;Combi Scheme,,Quantity,Per Tier
PROMOINV251A,Promo & Deal,Discount by Value,Scheme by MRP;Combi Scheme,,Quantity,Per UOM
PROMOINV252A,Promo & Deal,Discount by Value,Scheme by MRP;Combi Scheme,,Quantity,Per Product
PROMOINV255A,Promo & Deal,Discount by Percentage,Scheme by MRP;Scheme by Range;For Every,,Quantity,Per Tier
PROMOINV256A,Promo & Deal,Discount by Value,Scheme by MRP;Scheme by Range;For Every,,Quantity,Per Tier
PROMOINV257A,Promo & Deal,Discount by Value,Scheme by MRP;Scheme by Range;For Every,,Quantity,Per UOM
PROMOINV258A,Promo & Deal,Discount by Value,Scheme by MRP;Scheme by Range;For Every,,Quantity,Per Product
PROMOINV261A,Promo & Deal,Discount by Percentage,Scheme by MRP;Scheme by Range;For Every,,Amount,Per Tier
PROMOINV262A,Promo & Deal,Discount by Value,Scheme by MRP;Scheme by Range;For Every,,Amount,Per Tier
PROMOINV263A,Promo & Deal,Discount by Value,Scheme by MRP;Scheme by Range;For Every,,Amount,Per UOM
PROMOINV264A,Promo & Deal,Discount by Value,Scheme by MRP;Scheme by Range;For Every,,Amount,Per Product
PROMOINV267A,,Discount by Percentage,Scheme by MRP;Scheme by Range;Pro-rata;For Every,Non Accumulative,Quantity,Per Tier
PROMOINV268A,,Discount by Value,Scheme by MRP;Scheme by Range;Pro-rata;For Every,Non Accumulative,Quantity,Per Tier
PROMOINV269A,,Discount by Value,Scheme by MRP;Scheme by Range;Pro-rata;For Every,Non Accumulative,Quantity,Per UOM
PROMOINV272A,,Discount by Percentage,Scheme by MRP;Scheme by Range;Pro-rata;For Every,Non Accumulative,Amount,Per Tier
PROMOINV273A,,Discount by Value,Scheme by MRP;Scheme by Range;Pro-rata;For Every,Non Accumulative,Amount,Per Tier
PROMOINV274A,,Discount by Value,Scheme by MRP;Scheme by Range;Pro-rata;For Every,Non Accumulative,Amount,Per UOM
PROMOINV277A,,Discount by Percentage,Scheme by MRP;Scheme by Range;Pro-rata;For Every,Accumulative,Quantity,Per Tier
PROMOINV278A,,Discount by Percentage,Scheme by MRP;Scheme by Range;Pro-rata;For Every,Accumulative,Amount,Per Tier
PROMOINV279A,,Discount by Percentage,Scheme by MRP;Scheme by Range;Quality Purchase Scheme;Pro-rata;For Every,,Quantity,Per Tier
PROMOINV280A,,Discount by Value,Scheme by MRP;Scheme by Range;Quality Purchase Scheme;Pro-rata;For Every,,Quantity,Per Tier
PROMOINV281A,,Discount by Value,Scheme by MRP;Scheme by Range;Quality Purchase Scheme;Pro-rata;For Every,,Quantity,Per UOM
PROMOINV283A,,Discount by Percentage,Scheme by MRP;Scheme by Range;Quality Purchase Scheme;Pro-rata;For Every,,Amount,Per Tier
PROMOINV284A,,Discount by Value,Scheme by MRP;Scheme by Range;Quality Purchase Scheme;Pro-rata;For Every,,Amount,Per Tier
PROMOINV285A,,Discount by Value,Scheme by MRP;Scheme by Range;Quality Purchase Scheme;Pro-rata;For Every,,Amount,Per UOM
PROMOINV287A,,Discount by Percentage,Scheme by MRP;Scheme by Range;Quality Purchase Scheme;For Every,,Quantity,Per Tier
PROMOINV288A,,Discount by Value,Scheme by MRP;Scheme by Range;Quality Purchase Scheme;For Every,,Quantity,Per Tier
PROMOINV289A,,Discount by Value,Scheme by MRP;Scheme by Range;Quality Purchase Scheme;For Every,,Quantity,Per UOM
PROMOINV290A,,Discount by Value,Scheme by MRP;Scheme by Range;Quality Purchase Scheme;For Every,,Quantity,Per Product
PROMOINV292A,,Discount by Percentage,Scheme by MRP;Scheme by Range;Quality Purchase Scheme;For Every,,Amount,Per Tier
PROMOINV293A,,Discount by Value,Scheme by MRP;Scheme by Range;Quality Purchase Scheme;For Every,,Amount,Per Tier
PROMOINV294A,,Discount by Value,Scheme by MRP;Scheme by Range;Quality Purchase Scheme;For Every,,Amount,Per UOM
PROMOINV295A,,Discount by Value,Scheme by MRP;Scheme by Range;Quality Purchase Scheme;For Every,,Amount,Per Product
PROMOINV297A,,Discount by Percentage,Scheme by MRP;Scheme by TDR;For Every,,Quantity,Per Tier
PROMOINV298A,,Discount by Value,Scheme by MRP;Scheme by TDR;For Every,,Quantity,Per Tier
PROMOINV299A,,Discount by Value,Scheme by MRP;Scheme by TDR;For Every,,Quantity,Per UOM
PROMOINV300A,,Discount by Value,Scheme by MRP;Scheme by TDR;For Every,,Quantity,Per Product
PROMOINV303A,,Discount by Percentage,Scheme by MRP;Scheme by TDR;For Every,,Amount,Per Tier
PROMOINV304A,,Discount by Value,Scheme by MRP;Scheme by TDR;For Every,,Amount,Per Tier
PROMOINV305A,,Discount by Value,Scheme by MRP;Scheme by TDR;For Every,,Amount,Per UOM
PROMOINV306A,,Discount by Value,Scheme by MRP;Scheme by TDR;For Every,,Amount,Per Product
PROMOINV309A,,Discount by Percentage,Scheme by MRP;Scheme by TDR;Pro-rata;For Every,Non Accumulative,Quantity,Per Tier
PROMOINV310A,,Discount by Value,Scheme by MRP;Scheme by TDR;Pro-rata;For Every,Non Accumulative,Quantity,Per Tier
PROMOINV311A,,Discount by Value,Scheme by MRP;Scheme by TDR;Pro-rata;For Every,Non Accumulative,Quantity,Per UOM
PROMOINV314A,,Discount by Percentage,Scheme by MRP;Scheme by TDR;Pro-rata;For Every,Non Accumulative,Amount,Per Tier
PROMOINV315A,,Discount by Value,Scheme by MRP;Scheme by TDR;Pro-rata;For Every,Non Accumulative,Amount,Per Tier
PROMOINV316A,,Discount by Value,Scheme by MRP;Scheme by TDR;Pro-rata;For Every,Non Accumulative,Amount,Per UOM
PROMOINV319A,,Discount by Percentage,Scheme by MRP;Scheme by TDR;Pro-rata;For Every,Accumulative,Quantity,Per Tier
PROMOINV320A,,Discount by Percentage,Scheme by MRP;Scheme by TDR;Pro-rata;For Every,Accumulative,Amount,Per Tier
PROMOINV321A,,Discount by Percentage,Scheme by MRP;Scheme by TDR;Quality Purchase Scheme;For Every,,Quantity,Per Tier
PROMOINV322A,,Discount by Value,Scheme by MRP;Scheme by TDR;Quality Purchase Scheme;For Every,,Quantity,Per Tier
PROMOINV323A,,Discount by Value,Scheme by MRP;Scheme by TDR;Quality Purchase Scheme;For Every,,Quantity,Per UOM
PROMOINV324A,,Discount by Value,Scheme by MRP;Scheme by TDR;Quality Purchase Scheme;For Every,,Quantity,Per Product
PROMOINV326A,,Discount by Percentage,Scheme by MRP;Scheme by TDR;Quality Purchase Scheme;For Every,,Amount,Per Tier
PROMOINV327A,,Discount by Value,Scheme by MRP;Scheme by TDR;Quality Purchase Scheme;For Every,,Amount,Per Tier
PROMOINV328A,,Discount by Value,Scheme by MRP;Scheme by TDR;Quality Purchase Scheme;For Every,,Amount,Per UOM
PROMOINV329A,,Discount by Value,Scheme by MRP;Scheme by TDR;Quality Purchase Scheme;For Every,,Amount,Per Product
PROMOINV331A,,Discount by Percentage,Scheme by MRP;Scheme by TDR;Quality Purchase Scheme;Pro-rata;For Every,,Quantity,Per Tier
PROMOINV332A,,Discount by Value,Scheme by MRP;Scheme by TDR;Quality Purchase Scheme;Pro-rata;For Every,,Quantity,Per Tier
PROMOINV333A,,Discount by Value,Scheme by MRP;Scheme by TDR;Quality Purchase Scheme;Pro-rata;For Every,,Quantity,Per UOM
PROMOINV335A,,Discount by Percentage,Scheme by MRP;Scheme by TDR;Quality Purchase Scheme;Pro-rata;For Every,,Amount,Per Tier
PROMOINV336A,,Discount by Value,Scheme by MRP;Scheme by TDR;Quality Purchase Scheme;Pro-rata;For Every,,Amount,Per Tier
PROMOINV337A,,Discount by Value,Scheme by MRP;Scheme by TDR;Quality Purchase Scheme;Pro-rata;For Every,,Amount,Per UOM
PROMOINV339A,,Discount by Percentage,Scheme by MRP;Scheme by TDR;Combi Scheme,,Amount,Per Tier
