TestCseID,Type,Scheme Options,Discount Percentage Method,Buy Type,Promotion Type,Discount,Apply On,Level,Must,MRP
PROMO165,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO165,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO166,Promo & Deal,Scheme by TDR;Scheme by Range;For Every,,Amount,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO166,,,,,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO166,,,,,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO170,Promo & Deal,Scheme by TDR;Scheme by Range;Pro-rata;For Every,Non Accumulative,Quantity,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO170,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO170,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO171,Promo & Deal,Scheme by TDR;Scheme by Range;Pro-rata;For Every,Non Accumulative,Quantity,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO171,,,,,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO171,,,,,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO175,Promo & Deal,Scheme by TDR;Pro-rata;For Every,Non Accumulative,Amount,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO175,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO175,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO176,Promo & Deal,Scheme by TDR;Pro-rata;For Every,Non Accumulative,Amount,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO176,,,,,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO176,,,,,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO182,Promo & Deal,Scheme by TDR;Scheme by Range;Quantity Purchase Scheme;Pro-rata;For Every,,Quantity,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO182,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO182,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO186,Promo & Deal,Scheme by TDR;Scheme by Range;Quantity Purchase Scheme;Pro-rata;For Every,,Amount,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO186,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO186,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO191,Promo & Deal,Scheme by TDR;Scheme by Range;Quantity Purchase Scheme;For Every,,Quantity,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO191,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO191,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO196,Promo & Deal,Scheme by TDR;Scheme by Range;Quantity Purchase Scheme;For Every,,Amount,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO196,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO196,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO201,Promo & Deal,Scheme by MRP;For Every,,Quantity,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO201,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO201,,,,,Free Product,AND,Per Tier,Prodcat 1,No,
PROMO202,Promo & Deal,Scheme by MRP;For Every,,Quantity,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO202,,,,,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO202,,,,,Free Product,OR,Per Tier,Prodcat 1,No,
PROMO207,Promo & Deal,Scheme by MRP;For Every,,Amount,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO207,,,,,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO207,,,,,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO208,Promo & Deal,Scheme by MRP;For Every,,Amount,Free Product,OR,Per Tier,Prodcat 1,No,1
PROMO208,,,,,Free Product,OR,Per Tier,Prodcat 1,No,1
PROMO208,,,,,Free Product,OR,Per Tier,Prodcat 1,No,1
PROMO212,Promo & Deal,Scheme by MRP;Pro-rata;For Every,Non Accumulative,Quantity,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO212,,,,,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO212,,,,,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO213,Promo & Deal,Scheme by MRP;Pro-rata;For Every,Non Accumulative,Quantity,Free Product,OR,Per Tier,Prodcat 1,No,1
PROMO213,,,,,Free Product,OR,Per Tier,Prodcat 1,No,1
PROMO213,,,,,Free Product,OR,Per Tier,Prodcat 1,No,1
PROMO217,Promo & Deal,Scheme by TDR;Scheme by Range;For Every,Non Accumulative,Amount,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO217,,,,,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO217,,,,,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO218,Promo & Deal,Scheme by TDR;Scheme by Range;For Every,Non Accumulative,Amount,Free Product,OR,Per Tier,Prodcat 1,No,1
PROMO218,,,,,Free Product,OR,Per Tier,Prodcat 1,No,1
PROMO218,,,,,Free Product,OR,Per Tier,Prodcat 1,No,1
PROMO221,Promo & Deal,Scheme by MRP;FOC Recurring,,Amount,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO221,,,,,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO221,,,,,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO222,Promo & Deal,Scheme by MRP;FOC Recurring,,Amount,Free Product,OR,Per Tier,Prodcat 1,No,1
PROMO222,,,,,Free Product,OR,Per Tier,Prodcat 1,No,1
PROMO222,,,,,Free Product,OR,Per Tier,Prodcat 1,No,1
PROMO223,Promo & Deal,Scheme by MRP;FOC Recurring,,Quantity,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO223,,,,,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO223,,,,,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO224,Promo & Deal,Scheme by MRP;FOC Recurring,,Quantity,Free Product,OR,Per Tier,Prodcat 1,No,1
PROMO224,,,,,Free Product,OR,Per Tier,Prodcat 1,No,1
PROMO224,,,,,Free Product,OR,Per Tier,Prodcat 1,No,1
PROMO228,Promo & Deal,Scheme by MRP;Quantity Purchase Scheme;Pro-rata;For Every,,Amount,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO228,,,,,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO228,,,,,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO232,Promo & Deal,Scheme by MRP;Quantity Purchase Scheme;Pro-rata;For Every,,Quantity,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO232,,,,,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO232,,,,,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO237,Promo & Deal,Scheme by MRP;Quantity Purchase Scheme;For Every,,Amount,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO237,,,,,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO237,,,,,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO242,Promo & Deal,Scheme by MRP;Quantity Purchase Scheme;For Every,,Quantity,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO242,,,,,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO242,,,,,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO247,Promo & Deal,Scheme by MRP;Combi Scheme,,Amount,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO247,,,,,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO247,,,,,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO248,Promo & Deal,Scheme by MRP;Combi Scheme,,Amount,Free Product,OR,Per Tier,Prodcat 1,No,1
PROMO248,,,,,Free Product,OR,Per Tier,Prodcat 1,No,1
PROMO248,,,,,Free Product,OR,Per Tier,Prodcat 1,No,1
PROMO253,Promo & Deal,Scheme by MRP;Combi Scheme,,Quantity,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO253,,,,,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO253,,,,,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO254,Promo & Deal,Scheme by MRP;Combi Scheme,,Quantity,Free Product,OR,Per Tier,Prodcat 1,No,1
PROMO254,,,,,Free Product,OR,Per Tier,Prodcat 1,No,1
PROMO254,,,,,Free Product,OR,Per Tier,Prodcat 1,No,1
PROMO259,Promo & Deal,Scheme by MRP;Scheme by Range;For Every,,Quantity,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO259,,,,,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO259,,,,,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO260,Promo & Deal,Scheme by MRP;Scheme by Range;For Every,,Quantity,Free Product,OR,Per Tier,Prodcat 1,No,1
PROMO260,,,,,Free Product,OR,Per Tier,Prodcat 1,No,1
PROMO260,,,,,Free Product,OR,Per Tier,Prodcat 1,No,1
PROMO265,Promo & Deal,Scheme by MRP;Scheme by Range;For Every,Non Accumulative,Amount,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO265,,,,,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO265,,,,,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO266,Promo & Deal,Scheme by MRP;Scheme by Range;For Every,Non Accumulative,Amount,Free Product,OR,Per Tier,Prodcat 1,No,1
PROMO266,,,,,Free Product,OR,Per Tier,Prodcat 1,No,1
PROMO266,,,,,Free Product,OR,Per Tier,Prodcat 1,No,1
PROMO270,Promo & Deal,Scheme by MRP;Scheme by Range;Pro-rata;For Every,Non Accumulative,Quantity,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO270,,,,,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO270,,,,,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO271,Promo & Deal,Scheme by MRP;Scheme by Range;Pro-rata;For Every,Non Accumulative,Quantity,Free Product,OR,Per Tier,Prodcat 1,No,1
PROMO271,,,,,Free Product,OR,Per Tier,Prodcat 1,No,1
PROMO271,,,,,Free Product,OR,Per Tier,Prodcat 1,No,1
PROMO275,Promo & Deal,Scheme by MRP;Scheme by Range;Pro-rata;For Every,Non Accumulative,Amount,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO275,,,,,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO275,,,,,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO276,Promo & Deal,Scheme by MRP;Scheme by Range;Pro-rata;For Every,Non Accumulative,Amount,Free Product,OR,Per Tier,Prodcat 1,No,1
PROMO276,,,,,Free Product,OR,Per Tier,Prodcat 1,No,1
PROMO276,,,,,Free Product,OR,Per Tier,Prodcat 1,No,1
PROMO282,Promo & Deal,Scheme by MRP;Scheme by Range;Quantity Purchase Scheme;Pro-rata;For Every,,Quantity,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO282,,,,,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO282,,,,,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO286,Promo & Deal,Scheme by MRP;Scheme by Range;Quantity Purchase Scheme;Pro-rata;For Every,,Amount,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO286,,,,,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO286,,,,,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO291,Promo & Deal,Scheme by MRP;Scheme by Range;Quantity Purchase Scheme;For Every,,Quantity,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO291,,,,,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO291,,,,,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO296,Promo & Deal,Scheme by MRP;Scheme by Range;Quantity Purchase Scheme;For Every,,Amount,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO296,,,,,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO296,,,,,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO301,Promo & Deal,Scheme by MRP;Scheme by TDR;For Every,,Quantity,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO301,,,,,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO301,,,,,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO302,Promo & Deal,Scheme by MRP;Scheme by TDR;For Every,,Quantity,Free Product,OR,Per Tier,Prodcat 1,No,1
PROMO302,,,,,Free Product,OR,Per Tier,Prodcat 1,No,1
PROMO302,,,,,Free Product,OR,Per Tier,Prodcat 1,No,1
PROMO307,Promo & Deal,Scheme by MRP;Scheme by TDR;For Every,,Amount,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO307,,,,,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO307,,,,,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO308,Promo & Deal,Scheme by MRP;Scheme by TDR;For Every,,Amount,Free Product,OR,Per Tier,Prodcat 1,No,1
PROMO308,,,,,Free Product,OR,Per Tier,Prodcat 1,No,1
PROMO308,,,,,Free Product,OR,Per Tier,Prodcat 1,No,1
PROMO312,Promo & Deal,Scheme by MRP;Scheme by TDR;Pro-rata;For Every,Non Accumulative,Quantity,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO312,,,,,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO312,,,,,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO313,Promo & Deal,Scheme by MRP;Scheme by TDR;Pro-rata;For Every,Non Accumulative,Quantity,Free Product,OR,Per Tier,Prodcat 1,No,1
PROMO313,,,,,Free Product,OR,Per Tier,Prodcat 1,No,1
PROMO313,,,,,Free Product,OR,Per Tier,Prodcat 1,No,1
PROMO317,Promo & Deal,Scheme by MRP;Scheme by TDR;Pro-rata;For Every,Non Accumulative,Amount,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO317,,,,,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO317,,,,,Free Product,AND,Per Tier,Prodcat 1,No,1
PROMO318,Promo & Deal,Scheme by MRP;Scheme by TDR;Pro-rata;For Every,Non Accumulative,Amount,Free Product,OR,Per Tier,Prodcat 1,No,1
PROMO318,,,,,Free Product,OR,Per Tier,Prodcat 1,No,1
PROMO318,,,,,Free Product,OR,Per Tier,Prodcat 1,No,1
PROMO325,Promo & Deal,Scheme by MRP;Scheme by TDR;Quantity Purchase Scheme;For Every,,Quantity,Free Product,AND,Per Tier,Prodcat 1,No,1
