TestCseID,Type,Scheme Options,Discount Percentage Method,Buy Type,Promotion Type,Discount,Apply On,Level,Must,MRP
PROMO039,Promo & Deal,Quantity Purchase Scheme;For Every,,Amount,Discount by Value,10.5,Per UOM,Prodcat 1,No,
PROMO039,,,,,Discount by Value,30.5,Per UOM,Prodcat 1,No,
PROMO039,,,,,Discount by Value,50.5,Per UOM,Prodcat 1,No,
PROMO040,Promo & Deal,Quantity Purchase Scheme;For Every,,Amount,Discount by Value,10.5,Per Product,Prodcat 1,No,
PROMO040,,,,,Discount by Value,30.5,Per Product,Prodcat 1,No,
PROMO040,,,,,Discount by Value,50.5,Per Product,Prodcat 1,No,
PROMO043,Promo & Deal,Quantity Purchase Scheme;For Every,,Quantity,Discount by Value,10.5,Per Tier,Prodcat 1,No,
PROMO043,,,,,Discount by Value,30.5,Per Tier,Prodcat 1,No,
PROMO043,,,,,Discount by Value,50.5,Per Tier,Prodcat 1,No,
PROMO044,Promo & Deal,Quantity Purchase Scheme;For Every,,Quantity,Discount by Value,10.5,Per UOM,Prodcat 1,No,
PROMO044,,,,,Discount by Value,30.5,Per UOM,Prodcat 1,No,
PROMO044,,,,,Discount by Value,50.5,Per UOM,Prodcat 1,No,
PROMO045,Promo & Deal,Quantity Purchase Scheme;For Every,,Quantity,Discount by Value,10.5,Per Product,Prodcat 1,No,
PROMO045,,,,,Discount by Value,30.5,Per Product,Prodcat 1,No,
PROMO045,,,,,Discount by Value,50.5,Per Product,Prodcat 1,No,
PROMO048,Promo & Deal,Combi Scheme,,Amount,Discount by Value,10.5,Per Tier,Prodcat 1,No,
PROMO048,,,,,Discount by Value,30.5,Per Tier,Prodcat 1,No,
PROMO048,,,,,Discount by Value,50.5,Per Tier,Prodcat 1,No,
PROMO049,Promo & Deal,Combi Scheme,,Amount,Discount by Value,10.5,Per UOM,Prodcat 1,No,
PROMO049,,,,,Discount by Value,30.5,Per UOM,Prodcat 1,No,
PROMO049,,,,,Discount by Value,50.5,Per UOM,Prodcat 1,No,
PROMO050,Promo & Deal,Combi Scheme,,Amount,Discount by Value,10.5,Per Product,Prodcat 1,No,
PROMO050,,,,,Discount by Value,30.5,Per Product,Prodcat 1,No,
PROMO050,,,,,Discount by Value,50.5,Per Product,Prodcat 1,No,
PROMO054,Promo & Deal,Combi Scheme,,Quantity,Discount by Value,10.5,Per Tier,Prodcat 1,No,
PROMO054,,,,,Discount by Value,30.5,Per Tier,Prodcat 1,No,
PROMO054,,,,,Discount by Value,50.5,Per Tier,Prodcat 1,No,
PROMO055,Promo & Deal,Combi Scheme,,Quantity,Discount by Value,10.5,Per UOM,Prodcat 1,No,
PROMO055,,,,,Discount by Value,30.5,Per UOM,Prodcat 1,No,
PROMO055,,,,,Discount by Value,50.5,Per UOM,Prodcat 1,No,
PROMO056,Promo & Deal,Combi Scheme,,Quantity,Discount by Value,10.5,Per Product,Prodcat 1,No,
PROMO056,,,,,Discount by Value,30.5,Per Product,Prodcat 1,No,
PROMO056,,,,,Discount by Value,50.5,Per Product,Prodcat 1,No,
PROMO060,Promo & Deal,Scheme by Range;For Every,,Quantity,Discount by Value,10.5,Per Tier,Prodcat 1,No,
PROMO060,,,,,Discount by Value,30.5,Per Tier,Prodcat 1,No,
PROMO060,,,,,Discount by Value,50.5,Per Tier,Prodcat 1,No,
PROMO061,Promo & Deal,Scheme by Range;For Every,,Quantity,Discount by Value,10.5,Per UOM,Prodcat 1,No,
PROMO061,,,,,Discount by Value,30.5,Per UOM,Prodcat 1,No,
PROMO061,,,,,Discount by Value,50.5,Per UOM,Prodcat 1,No,
PROMO062,Promo & Deal,Scheme by Range;For Every,,Quantity,Discount by Value,10.5,Per Product,Prodcat 1,No,
PROMO062,,,,,Discount by Value,30.5,Per Product,Prodcat 1,No,
PROMO062,,,,,Discount by Value,50.5,Per Product,Prodcat 1,No,
PROMO066,Promo & Deal,Scheme by Range;For Every,,Amount,Discount by Value,10.5,Per Tier,Prodcat 1,No,
PROMO066,,,,,Discount by Value,30.5,Per Tier,Prodcat 1,No,
PROMO066,,,,,Discount by Value,50.5,Per Tier,Prodcat 1,No,
PROMO067,Promo & Deal,Scheme by Range;For Every,,Amount,Discount by Value,10.5,Per UOM,Prodcat 1,No,
PROMO067,,,,,Discount by Value,30.5,Per UOM,Prodcat 1,No,
PROMO067,,,,,Discount by Value,50.5,Per UOM,Prodcat 1,No,
PROMO068,Promo & Deal,Scheme by Range;For Every,,Amount,Discount by Value,10.5,Per Product,Prodcat 1,No,
PROMO068,,,,,Discount by Value,30.5,Per Product,Prodcat 1,No,
PROMO068,,,,,Discount by Value,50.5,Per Product,Prodcat 1,No,
PROMO072,Promo & Deal,Scheme by Range;Pro-rata;For Every,Non Accumulative,Quantity,Discount by Value,10.5,Per Tier,Prodcat 1,No,
PROMO072,,,,,Discount by Value,30.5,Per Tier,Prodcat 1,No,
PROMO072,,,,,Discount by Value,50.5,Per Tier,Prodcat 1,No,
PROMO073,Promo & Deal,Scheme by Range;Pro-rata;For Every,Non Accumulative,Quantity,Discount by Value,10.5,Per UOM,Prodcat 1,No,
PROMO073,,,,,Discount by Value,30.5,Per UOM,Prodcat 1,No,
PROMO073,,,,,Discount by Value,50.5,Per UOM,Prodcat 1,No,
PROMO077,Promo & Deal,Scheme by Range;Pro-rata;For Every,Non Accumulative,Amount,Discount by Value,10.5,Per Tier,Prodcat 1,No,
PROMO077,,,,,Discount by Value,30.5,Per Tier,Prodcat 1,No,
PROMO077,,,,,Discount by Value,50.5,Per Tier,Prodcat 1,No,
PROMO078,Promo & Deal,Scheme by Range;Pro-rata;For Every,Non Accumulative,Amount,Discount by Value,10.5,Per UOM,Prodcat 1,No,
PROMO078,,,,,Discount by Value,30.5,Per UOM,Prodcat 1,No,
PROMO078,,,,,Discount by Value,50.5,Per UOM,Prodcat 1,No,
PROMO084,Promo & Deal,Scheme by Range;Quantity Purchase Scheme;Pro-rata;For Every,,Quantity,Discount by Value,10.5,Per Tier,Prodcat 1,No,
PROMO084,,,,,Discount by Value,30.5,Per Tier,Prodcat 1,No,
PROMO084,,,,,Discount by Value,50.5,Per Tier,Prodcat 1,No,
PROMO085,Promo & Deal,Scheme by Range;Quantity Purchase Scheme;Pro-rata;For Every,,Quantity,Discount by Value,10.5,Per UOM,Prodcat 1,No,
PROMO085,,,,,Discount by Value,30.5,Per UOM,Prodcat 1,No,
PROMO085,,,,,Discount by Value,50.5,Per UOM,Prodcat 1,No,
PROMO088,Promo & Deal,Scheme by Range;Quantity Purchase Scheme;Pro-rata;For Every,,Amount,Discount by Value,10.5,Per Tier,Prodcat 1,No,
PROMO088,,,,,Discount by Value,30.5,Per Tier,Prodcat 1,No,
PROMO088,,,,,Discount by Value,50.5,Per Tier,Prodcat 1,No,
PROMO089,Promo & Deal,Scheme by Range;Quantity Purchase Scheme;Pro-rata;For Every,,Amount,Discount by Value,10.5,Per UOM,Prodcat 1,No,
PROMO089,,,,,Discount by Value,30.5,Per UOM,Prodcat 1,No,
PROMO089,,,,,Discount by Value,50.5,Per UOM,Prodcat 1,No,
PROMO092,Promo & Deal,Scheme by Range;Quantity Purchase Scheme;For Every,,Quantity,Discount by Value,10.5,Per Tier,Prodcat 1,No,
PROMO092,,,,,Discount by Value,30.5,Per Tier,Prodcat 1,No,
PROMO092,,,,,Discount by Value,50.5,Per Tier,Prodcat 1,No,
PROMO093,Promo & Deal,Scheme by Range;Quantity Purchase Scheme;For Every,,Quantity,Discount by Value,10.5,Per UOM,Prodcat 1,No,
PROMO093,,,,,Discount by Value,30.5,Per UOM,Prodcat 1,No,
PROMO093,,,,,Discount by Value,50.5,Per UOM,Prodcat 1,No,
PROMO094,Promo & Deal,Scheme by Range;Quantity Purchase Scheme;For Every,,Quantity,Discount by Value,10.5,Per Product,Prodcat 1,No,
PROMO094,,,,,Discount by Value,30.5,Per Product,Prodcat 1,No,
PROMO094,,,,,Discount by Value,50.5,Per Product,Prodcat 1,No,
PROMO097,Promo & Deal,Scheme by Range;Quantity Purchase Scheme;For Every,,Amount,Discount by Value,10.5,Per Tier,Prodcat 1,No,
PROMO097,,,,,Discount by Value,30.5,Per Tier,Prodcat 1,No,
PROMO097,,,,,Discount by Value,50.5,Per Tier,Prodcat 1,No,
PROMO098,Promo & Deal,Scheme by Range;Quantity Purchase Scheme;For Every,,Amount,Discount by Value,10.5,Per UOM,Prodcat 1,No,
PROMO098,,,,,Discount by Value,30.5,Per UOM,Prodcat 1,No,
PROMO098,,,,,Discount by Value,50.5,Per UOM,Prodcat 1,No,
PROMO099,Promo & Deal,Scheme by Range;Quantity Purchase Scheme;For Every,,Amount,Discount by Value,10.5,Per Product,Prodcat 1,No,
PROMO099,,,,,Discount by Value,30.5,Per Product,Prodcat 1,No,
PROMO099,,,,,Discount by Value,50.5,Per Product,Prodcat 1,No,
PROMO102,Promo & Deal,Scheme by TDR;For Every,,Quantity,Discount by Value,10.5,Per Tier,Prodcat 1,No,
PROMO102,,,,,Discount by Value,30.5,Per Tier,Prodcat 1,No,
PROMO102,,,,,Discount by Value,50.5,Per Tier,Prodcat 1,No,
PROMO103,Promo & Deal,Scheme by TDR;For Every,,Quantity,Discount by Value,10.5,Per UOM,Prodcat 1,No,
PROMO103,,,,,Discount by Value,30.5,Per UOM,Prodcat 1,No,
PROMO103,,,,,Discount by Value,50.5,Per UOM,Prodcat 1,No,
PROMO104,Promo & Deal,Scheme by TDR;For Every,,Quantity,Discount by Value,10.5,Per Product,Prodcat 1,No,
PROMO104,,,,,Discount by Value,30.5,Per Product,Prodcat 1,No,
PROMO104,,,,,Discount by Value,50.5,Per Product,Prodcat 1,No,
PROMO108,Promo & Deal,Scheme by TDR;For Every,,Amount,Discount by Value,10.5,Per Tier,Prodcat 1,No,
PROMO108,,,,,Discount by Value,30.5,Per Tier,Prodcat 1,No,
PROMO108,,,,,Discount by Value,50.5,Per Tier,Prodcat 1,No,
PROMO109,Promo & Deal,Scheme by TDR;For Every,,Amount,Discount by Value,10.5,Per UOM,Prodcat 1,No,
PROMO109,,,,,Discount by Value,30.5,Per UOM,Prodcat 1,No,
PROMO109,,,,,Discount by Value,50.5,Per UOM,Prodcat 1,No,
PROMO110,Promo & Deal,Scheme by TDR;For Every,,Amount,Discount by Value,10.5,Per Product,Prodcat 1,No,
PROMO110,,,,,Discount by Value,30.5,Per Product,Prodcat 1,No,
PROMO110,,,,,Discount by Value,50.5,Per Product,Prodcat 1,No,
PROMO114,Promo & Deal,Scheme by TDR;Pro-rata;For Every,Non Accumulative,Quantity,Discount by Value,10.5,Per Tier,Prodcat 1,No,
PROMO114,,,,,Discount by Value,30.5,Per Tier,Prodcat 1,No,
PROMO114,,,,,Discount by Value,50.5,Per Tier,Prodcat 1,No,
PROMO115,Promo & Deal,Scheme by TDR;Pro-rata;For Every,Non Accumulative,Quantity,Discount by Value,10.5,Per UOM,Prodcat 1,No,
PROMO115,,,,,Discount by Value,30.5,Per UOM,Prodcat 1,No,
PROMO115,,,,,Discount by Value,50.5,Per UOM,Prodcat 1,No,
PROMO119,Promo & Deal,Scheme by TDR;Pro-rata;For Every,Non Accumulative,Amount,Discount by Value,10.5,Per Tier,Prodcat 1,No,
PROMO119,,,,,Discount by Value,30.5,Per Tier,Prodcat 1,No,
PROMO119,,,,,Discount by Value,50.5,Per Tier,Prodcat 1,No,
PROMO120,Promo & Deal,Scheme by TDR;Pro-rata;For Every,Non Accumulative,Amount,Discount by Value,10.5,Per UOM,Prodcat 1,No,
PROMO120,,,,,Discount by Value,30.5,Per UOM,Prodcat 1,No,
PROMO120,,,,,Discount by Value,50.5,Per UOM,Prodcat 1,No,
PROMO126,Promo & Deal,Scheme by TDR;Quantity Purchase Scheme;For Every,,Quantity,Discount by Value,10.5,Per Tier,Prodcat 1,No,
PROMO126,,,,,Discount by Value,30.5,Per Tier,Prodcat 1,No,
PROMO126,,,,,Discount by Value,50.5,Per Tier,Prodcat 1,No,
PROMO127,Promo & Deal,Scheme by TDR;Quantity Purchase Scheme;For Every,,Quantity,Discount by Value,10.5,Per UOM,Prodcat 1,No,
PROMO127,,,,,Discount by Value,30.5,Per UOM,Prodcat 1,No,
PROMO127,,,,,Discount by Value,50.5,Per UOM,Prodcat 1,No,
PROMO128,Promo & Deal,Scheme by TDR;Quantity Purchase Scheme;For Every,,Quantity,Discount by Value,10.5,Per Product,Prodcat 1,No,
PROMO128,,,,,Discount by Value,30.5,Per Product,Prodcat 1,No,
PROMO128,,,,,Discount by Value,50.5,Per Product,Prodcat 1,No,
PROMO131,Promo & Deal,Scheme by TDR;Quantity Purchase Scheme;For Every,,Amount,Discount by Value,10.5,Per Tier,Prodcat 1,No,
PROMO131,,,,,Discount by Value,30.5,Per Tier,Prodcat 1,No,
PROMO131,,,,,Discount by Value,50.5,Per Tier,Prodcat 1,No,
PROMO132,Promo & Deal,Scheme by TDR;Quantity Purchase Scheme;For Every,,Amount,Discount by Value,10.5,Per UOM,Prodcat 1,No,
PROMO132,,,,,Discount by Value,30.5,Per UOM,Prodcat 1,No,
PROMO132,,,,,Discount by Value,50.5,Per UOM,Prodcat 1,No,
PROMO133,Promo & Deal,Scheme by TDR;Quantity Purchase Scheme;For Every,,Amount,Discount by Value,10.5,Per Product,Prodcat 1,No,
PROMO133,,,,,Discount by Value,30.5,Per Product,Prodcat 1,No,
PROMO133,,,,,Discount by Value,50.5,Per Product,Prodcat 1,No,
PROMO136,Promo & Deal,Scheme by TDR;Quantity Purchase Scheme;Pro-rata;For Every,,Quantity,Discount by Value,10.5,Per Tier,Prodcat 1,No,
PROMO136,,,,,Discount by Value,30.5,Per Tier,Prodcat 1,No,
PROMO136,,,,,Discount by Value,50.5,Per Tier,Prodcat 1,No,
PROMO137,Promo & Deal,Scheme by TDR;Quantity Purchase Scheme;Pro-rata;For Every,,Quantity,Discount by Value,10.5,Per UOM,Prodcat 1,No,
PROMO137,,,,,Discount by Value,30.5,Per UOM,Prodcat 1,No,
PROMO137,,,,,Discount by Value,50.5,Per UOM,Prodcat 1,No,
PROMO140,Promo & Deal,Scheme by TDR;Quantity Purchase Scheme;Pro-rata;For Every,,Amount,Discount by Value,10.5,Per Tier,Prodcat 1,No,
PROMO140,,,,,Discount by Value,30.5,Per Tier,Prodcat 1,No,
PROMO140,,,,,Discount by Value,50.5,Per Tier,Prodcat 1,No,
PROMO141,Promo & Deal,Scheme by TDR;Quantity Purchase Scheme;Pro-rata;For Every,,Amount,Discount by Value,10.5,Per UOM,Prodcat 1,No,
PROMO141,,,,,Discount by Value,30.5,Per UOM,Prodcat 1,No,
PROMO141,,,,,Discount by Value,50.5,Per UOM,Prodcat 1,No,
PROMO144,Promo & Deal,Scheme by TDR;Combi Scheme,,Amount,Discount by Value,10.5,Per Tier,Prodcat 1,No,
PROMO144,,,,,Discount by Value,30.5,Per Tier,Prodcat 1,No,
PROMO144,,,,,Discount by Value,50.5,Per Tier,Prodcat 1,No,
PROMO145,Promo & Deal,Scheme by TDR;Combi Scheme,,Amount,Discount by Value,10.5,Per UOM,Prodcat 1,No,
PROMO145,,,,,Discount by Value,30.5,Per UOM,Prodcat 1,No,
PROMO145,,,,,Discount by Value,50.5,Per UOM,Prodcat 1,No,
PROMO146,Promo & Deal,Scheme by TDR;Combi Scheme,,Amount,Discount by Value,10.5,Per Product,Prodcat 1,No,
PROMO146,,,,,Discount by Value,30.5,Per Product,Prodcat 1,No,
PROMO146,,,,,Discount by Value,50.5,Per Product,Prodcat 1,No,
PROMO150,Promo & Deal,Scheme by TDR;Combi Scheme,,Quantity,Discount by Value,10.5,Per Tier,Prodcat 1,No,
PROMO150,,,,,Discount by Value,30.5,Per Tier,Prodcat 1,No,
PROMO150,,,,,Discount by Value,50.5,Per Tier,Prodcat 1,No,
PROMO151,Promo & Deal,Scheme by TDR;Combi Scheme,,Quantity,Discount by Value,10.5,Per UOM,Prodcat 1,No,
PROMO151,,,,,Discount by Value,30.5,Per UOM,Prodcat 1,No,
PROMO151,,,,,Discount by Value,50.5,Per UOM,Prodcat 1,No,
PROMO152,Promo & Deal,Scheme by TDR;Combi Scheme,,Quantity,Discount by Value,10.5,Per Product,Prodcat 1,No,
PROMO152,,,,,Discount by Value,30.5,Per Product,Prodcat 1,No,
PROMO152,,,,,Discount by Value,50.5,Per Product,Prodcat 1,No,
PROMO156,Promo & Deal,Scheme by TDR;Scheme by Range;For Every,,Quantity,Discount by Value,10.5,Per Tier,Prodcat 1,No,
PROMO156,,,,,Discount by Value,30.5,Per Tier,Prodcat 1,No,
PROMO156,,,,,Discount by Value,50.5,Per Tier,Prodcat 1,No,
PROMO157,Promo & Deal,Scheme by TDR;Scheme by Range;For Every,,Quantity,Discount by Value,10.5,Per UOM,Prodcat 1,No,
PROMO157,,,,,Discount by Value,30.5,Per UOM,Prodcat 1,No,
PROMO157,,,,,Discount by Value,50.5,Per UOM,Prodcat 1,No,
PROMO158,Promo & Deal,Scheme by TDR;Scheme by Range;For Every,,Quantity,Discount by Value,10.5,Per Product,Prodcat 1,No,
PROMO158,,,,,Discount by Value,30.5,Per Product,Prodcat 1,No,
PROMO158,,,,,Discount by Value,50.5,Per Product,Prodcat 1,No,
PROMO162,Promo & Deal,Scheme by TDR;Scheme by Range;For Every,,Amount,Discount by Value,10.5,Per Tier,Prodcat 1,No,
PROMO162,,,,,Discount by Value,30.5,Per Tier,Prodcat 1,No,
PROMO162,,,,,Discount by Value,50.5,Per Tier,Prodcat 1,No,
PROMO163,Promo & Deal,Scheme by TDR;Scheme by Range;For Every,,Amount,Discount by Value,10.5,Per UOM,Prodcat 1,No,
PROMO163,,,,,Discount by Value,30.5,Per UOM,Prodcat 1,No,
PROMO163,,,,,Discount by Value,50.5,Per UOM,Prodcat 1,No,
PROMO164,Promo & Deal,Scheme by TDR;Scheme by Range;For Every,,Amount,Discount by Value,10.5,Per Product,Prodcat 1,No,
PROMO164,,,,,Discount by Value,30.5,Per Product,Prodcat 1,No,
PROMO164,,,,,Discount by Value,50.5,Per Product,Prodcat 1,No,
PROMO168,Promo & Deal,Scheme by TDR;Scheme by Range;Pro-rata;For Every,Non Accumulative,Quantity,Discount by Value,10.5,Per Tier,Prodcat 1,No,
PROMO168,,,,,Discount by Value,30.5,Per Tier,Prodcat 1,No,
PROMO168,,,,,Discount by Value,50.5,Per Tier,Prodcat 1,No,
PROMO169,Promo & Deal,Scheme by TDR;Scheme by Range;Pro-rata;For Every,Non Accumulative,Quantity,Discount by Value,10.5,Per UOM,Prodcat 1,No,
PROMO169,,,,,Discount by Value,30.5,Per UOM,Prodcat 1,No,
PROMO169,,,,,Discount by Value,50.5,Per UOM,Prodcat 1,No,
PROMO173,Promo & Deal,Scheme by TDR;Scheme by Range;Pro-rata;For Every,Non Accumulative,Amount,Discount by Value,10.5,Per Tier,Prodcat 1,No,
PROMO173,,,,,Discount by Value,30.5,Per Tier,Prodcat 1,No,
PROMO173,,,,,Discount by Value,50.5,Per Tier,Prodcat 1,No,
PROMO174,Promo & Deal,Scheme by TDR;Scheme by Range;Pro-rata;For Every,Non Accumulative,Amount,Discount by Value,10.5,Per UOM,Prodcat 1,No,
PROMO174,,,,,Discount by Value,30.5,Per UOM,Prodcat 1,No,
PROMO174,,,,,Discount by Value,50.5,Per UOM,Prodcat 1,No,
PROMO180,Promo & Deal,Scheme by TDR;Scheme by Range;Quantity Purchase Scheme;Pro-rata;For Every,,Quantity,Discount by Value,10.5,Per Tier,Prodcat 1,No,
PROMO180,,,,,Discount by Value,30.5,Per Tier,Prodcat 1,No,
PROMO180,,,,,Discount by Value,50.5,Per Tier,Prodcat 1,No,
PROMO181,Promo & Deal,Scheme by TDR;Scheme by Range;Quantity Purchase Scheme;Pro-rata;For Every,,Quantity,Discount by Value,10.5,Per UOM,Prodcat 1,No,
PROMO181,,,,,Discount by Value,30.5,Per UOM,Prodcat 1,No,
PROMO181,,,,,Discount by Value,50.5,Per UOM,Prodcat 1,No,
PROMO184,Promo & Deal,Scheme by TDR;Scheme by Range;Quantity Purchase Scheme;Pro-rata;For Every,,Amount,Discount by Value,10.5,Per Tier,Prodcat 1,No,
PROMO184,,,,,Discount by Value,30.5,Per Tier,Prodcat 1,No,
PROMO184,,,,,Discount by Value,50.5,Per Tier,Prodcat 1,No,
PROMO185,Promo & Deal,Scheme by TDR;Scheme by Range;Quantity Purchase Scheme;Pro-rata;For Every,,Amount,Discount by Value,10.5,Per UOM,Prodcat 1,No,
PROMO185,,,,,Discount by Value,30.5,Per UOM,Prodcat 1,No,
PROMO185,,,,,Discount by Value,50.5,Per UOM,Prodcat 1,No,
PROMO188,Promo & Deal,Scheme by TDR;Scheme by Range;Quantity Purchase Scheme;For Every,,Quantity,Discount by Value,10.5,Per Tier,Prodcat 1,No,
PROMO188,,,,,Discount by Value,30.5,Per Tier,Prodcat 1,No,
PROMO188,,,,,Discount by Value,50.5,Per Tier,Prodcat 1,No,
PROMO189,Promo & Deal,Scheme by TDR;Scheme by Range;Quantity Purchase Scheme;For Every,,Quantity,Discount by Value,10.5,Per UOM,Prodcat 1,No,
PROMO189,,,,,Discount by Value,30.5,Per UOM,Prodcat 1,No,
PROMO189,,,,,Discount by Value,50.5,Per UOM,Prodcat 1,No,
PROMO190,Promo & Deal,Scheme by TDR;Scheme by Range;Quantity Purchase Scheme;For Every,,Quantity,Discount by Value,10.5,Per Product,Prodcat 1,No,
PROMO190,,,,,Discount by Value,30.5,Per Product,Prodcat 1,No,
PROMO190,,,,,Discount by Value,50.5,Per Product,Prodcat 1,No,
PROMO193,Promo & Deal,Scheme by TDR;Scheme by Range;Quantity Purchase Scheme;For Every,,Amount,Discount by Value,10.5,Per Tier,Prodcat 1,No,
PROMO193,,,,,Discount by Value,30.5,Per Tier,Prodcat 1,No,
PROMO193,,,,,Discount by Value,50.5,Per Tier,Prodcat 1,No,
PROMO194,Promo & Deal,Scheme by TDR;Scheme by Range;Quantity Purchase Scheme;For Every,,Amount,Discount by Value,10.5,Per UOM,Prodcat 1,No,
PROMO194,,,,,Discount by Value,30.5,Per UOM,Prodcat 1,No,
PROMO194,,,,,Discount by Value,50.5,Per UOM,Prodcat 1,No,
PROMO195,Promo & Deal,Scheme by TDR;Scheme by Range;Quantity Purchase Scheme;For Every,,Amount,Discount by Value,10.5,Per Product,Prodcat 1,No,
PROMO195,,,,,Discount by Value,30.5,Per Product,Prodcat 1,No,
PROMO195,,,,,Discount by Value,50.5,Per Product,Prodcat 1,No,
PROMO198,Promo & Deal,Scheme by MRP;For Every,,Quantity,Discount by Value,10.5,Per Tier,Prodcat 1,No,1
PROMO198,,,,,Discount by Value,30.5,Per Tier,Prodcat 1,No,1
PROMO198,,,,,Discount by Value,50.5,Per Tier,Prodcat 1,No,1
PROMO199,Promo & Deal,Scheme by MRP;For Every,,Quantity,Discount by Value,10.5,Per UOM,Prodcat 1,No,1
PROMO199,,,,,Discount by Value,30.5,Per UOM,Prodcat 1,No,1
PROMO199,,,,,Discount by Value,50.5,Per UOM,Prodcat 1,No,1
PROMO200,Promo & Deal,Scheme by MRP;For Every,,Quantity,Discount by Value,10.5,Per Product,Prodcat 1,No,1
PROMO200,,,,,Discount by Value,30.5,Per Product,Prodcat 1,No,1
PROMO200,,,,,Discount by Value,50.5,Per Product,Prodcat 1,No,1
PROMO204,Promo & Deal,Scheme by MRP;For Every,,Amount,Discount by Value,10.5,Per Tier,Prodcat 1,No,1
PROMO204,,,,,Discount by Value,30.5,Per Tier,Prodcat 1,No,1
PROMO204,,,,,Discount by Value,50.5,Per Tier,Prodcat 1,No,1
